tweet	label
@user Banga wani abin cecekuce a hotunan Rahma ba. Rayuwar ta ce, tana da zabin aikata duk abinda ta ga shine mafita a rayuwar ta👌	neutral
@user Sosai makowa man u bata tsoro karawa da kowa, man united we stand 💪💪💪💪	neutral
@user Nidai naje garin da ake noman ka bis 😂	neutral
@user @user @user PLS KISATOMIN TAKALMIN @user KODA WARI DAYANEE 😁😁😁😁	neutral
"@user Wai """"""""duk follow train kukayi"""""""" 😂😂"	neutral
@user Akuma wanke hanu sosai, a zauna agida idan anji yunwa asake wanke hanu.!!! Hhhhhh Our home land Nigeria 🇳🇬 chaii 😂😂😂 @user	neutral
@user 🙄🤣😂toh yanxu wa kuke tsammanin ya baku amsa a matsayinku na iyan jarida?	neutral
@user Tom za'a tsaya da yin jarrabawar kenan🤔	neutral
@user A kanon kuma😟 Labaran da mukeji a Enugu sune har gida😟	neutral
@user Kamun Allah ne..🥰 👌👌	neutral
@user @user za ayi abun kenan....🙄	neutral
@user Babu shugaban kasar da dabiun sa masu kyau ke kawatar dani a kasashen European irin @user sai ta 2 @user #conservative leaders kenn 💝💋😘	neutral
@user Wasu kam sunce sitta sai dai tayi hakuri bana🤣	neutral
@user Wannan ai tsohon shugaban APC ne. Ba PDP ba. Ko sai kun nuna layinku ?😂	neutral
@user 😂😂😂😂🤣🤣haba oga yan daban lafiya	neutral
@user Naira hamsin ma ta isa😕😕garin kwakin ashirin sugar na goma pure water na goma sigari na goma	neutral
@user @user Sugama murnar mutum nawane a kd zasu iya biyan 1k su shiga sinima 🤣🤣	neutral
@user @user Tou su wanne suke a qauye basu da account talk less of BVN ya zaayi dasu? 🤔	neutral
@user Wai me kuka dauke mu ne🙄❗, ta Yaya xaku kwatanta mutumin da ya yi shekaru biyar da doriya da mutumin da ko rantsar da shi ba'a yi ba❗🙄🤔	neutral
@user @user @user Malam aminu Saira mu Munyi predicting abinda ze faru nan gaba aiii,dama kowa yasan Mahmoud Dan Shege neh Toh cewa Zakuyi baban Laila shine babanshi Kaga Mahmoud zeiyi 2-0 babu Sumayya babu Laila 😂 😂 😂 my prediction is soo accurate. isn't it?	neutral
@user @user @user Anayi ina gefe ina dariya😹😂	neutral
@user Waye ya labe sanda binne su har yake fadin shekarunsu🤔😃	neutral
@user Asarar doki, sai sarki✌	neutral
@user A ina kika ji wannan kuma?🙄	neutral
@user @user Muma singles ya kamata mu gwada then 😂😂😂	neutral
@user @user @user Sadau airline zai cigaba da yawo 😂😹	neutral
@user Bai ba da wani abu ba kenan... Abun kasuwa ne 😋😀😂😁	neutral
@user Iko sae Allah!!!! Ana zatan wuta a makera sai gata a masaka.... Abinda ba ruwan ka dadin kallo ne dashi... 🏃‍♂️🏃‍♂️🏃‍♂️	neutral
@user Tazo muji ya😠	neutral
@user Au wai dama har gidan chasu ne da su? 😕	neutral
@user Nace mata Noo ba kai bane wannan film ne 🤣🤣😂😂😂	neutral
@user 😂😂😂 Dan Masara Kenan Ai sai ma ka wayi Gari baka a wurin tukunna	neutral
@user Ita kuma wannan wacece 🤷🏾‍♀️	neutral
@user Anyya buba galadima yanada lfy kuwa 🤔	neutral
@user Mu ai mun karfin a yi mana rana se dai mu yi wa mata😂😂	neutral
@user Hajiah kin biyah kudin stamp kenan. Baba buhari yasa mana kowah sai ya biyah😂😂🤣. Nima da nike qarami basu dagan qafa ba har dari uku na biyah jiyah	neutral
@user Yaro Mai tashe, 😂😂😂😂😂 bokiti yasa waka	neutral
@user Meyace Nikam wlh tin shekar 2020 Nake Bacci Sai 2021 Natashi 😀 daman haka yafada Tom Okay in bature	neutral
@user Toh mizamu Qarudashi Acikin tarihinnasa🤔🤔🤔	neutral
@user Amma ansaki sakamakon zabuka da suka shiryawa kansu 🧐🧐🧐	neutral
@user Hahaha, idan mutum zai baka Riga ka duba ta wuyansa😆😆😆😆	neutral
@user 😂😂 wacce gov. tazo babu su?	neutral
@user Eh ai kanin baban mu ne 😢😢😢	neutral
@user Injiwa kuma a ina😨	neutral
@user @user Kuje chan kui rayuwar ku😐	neutral
@user Da kwado ya fada ruwan zafi ♨️🐸	neutral
@user @user Waya Taba mana Baba Falalu 💪🏻💪🏻💪🏻💪🏻	neutral
@user Ton Dunal Turam idan konayi 👉👂👂yaji jiki yastira	neutral
@user Dukka da euya🥺	neutral
@user Lissafin akanmu yake queen 👸 😂😂	neutral
@user @user Aunty @user harda ke? I thought banda ku ajin jiki😂	neutral
@user Nigeria da saudiyya ai babu Hadi sun fimu cigaba Kuma shugabannin su masu adaline ba masu Son kansu ba😏	neutral
@user shehu Shagari Fah 😥 A Nigeria Ko Million 1 ce Dakai Bazaa Yanke Mah Wuta Bh Ballai Kamar Shehu Shagari Shugaban Kasa Guda Ah Haba Bbc Adai Sake Dubawa Plx😊	neutral
@user Tsalle daya akeyi ake fadawa Rijiya, sai ayi dubu ba'a fitoba🤣	neutral
@user Maya a nemi sana'a domin dogaro da kai🤣	neutral
@user @user @user Mugani a Kasa ba a Talbijin ba😂	neutral
@user Yazo damu bashi aron 👊	neutral
@user Sun matsa, Sulen garo ma kadai ya ishesu..✊	neutral
@user Yayi zaman sa a chan dan Allah 🙏🏽	neutral
@user ...rashin tausayi ne. Ya dauki kanwa kai ba ka dauka ba, kuma kuna zaune, ba tausayi.😜	neutral
@user Sai anyi magana kaji suna #Nextlevel😂	neutral
@user Ba Cinya ba Ƙafar baya🤔	neutral
@user 😀 ina masu neman nashi masu chewa ya mutu toh gashi Ya bai yana	neutral
@user Ya dauka mun manta😂😂	neutral
@user Kai Bayajuda Masu kishin aljahu ko marowata ?🤔	neutral
